millis,rssi,label
3915456,-64,empty
3918647,-64,empty
3921837,-65,empty
3925028,-64,empty
3928219,-65,empty
3931410,-68,empty
3934601,-65,empty
3937792,-63,empty
3940982,-62,empty
3944173,-62,empty
3947364,-63,empty
3950555,-61,empty
3953746,-65,empty
3956936,-65,empty
3960127,-66,empty
3963318,-65,empty
3966509,-63,empty
3969700,-64,empty
3972891,-64,empty
3976081,-65,empty
3979272,-64,empty
3982463,-62,empty
3985654,-64,empty
3988845,-65,empty
3992035,-65,empty
3995226,-63,empty
3998417,-65,empty
4001608,-66,empty
4004799,-65,empty
4007989,-65,empty
4011180,-63,empty
4014371,-64,empty
4017562,-65,empty
4020752,-64,empty
4023943,-63,empty
4027134,-65,empty
4030124,-64,empty
4033115,-64,empty
4036106,-64,empty
4039296,-64,empty
4042487,-63,empty
4045678,-64,empty
4048869,-62,empty
4052060,-63,empty
4055050,-63,empty
4058241,-62,empty
4061432,-64,empty
4064623,-65,empty
4067813,-66,empty
4071004,-63,empty
4074195,-63,empty
4077386,-64,empty
4080577,-63,empty
4083767,-67,empty
4086958,-65,empty
4090149,-64,empty
4093340,-65,empty
4096530,-63,empty
4099721,-64,empty
4102912,-62,empty
4106103,-62,empty
4109294,-62,empty
4112484,-61,empty
4115675,-61,empty
4118866,-60,empty
4122057,-62,empty
4125047,-62,empty
4128238,-62,empty
4131429,-61,empty
4134619,-62,empty
4137810,-63,empty
4141001,-64,empty
4144192,-63,empty
4147382,-65,empty
4150573,-66,empty
4153564,-63,empty
4156754,-65,empty
4159945,-65,empty
4163135,-63,empty
4166326,-63,empty
4169517,-64,empty
4172708,-63,empty
4175899,-65,empty
4179090,-64,empty
4182280,-65,empty
4185471,-64,empty
4188662,-63,empty
4191853,-62,empty
4195044,-62,empty
4198234,-62,empty
4201425,-62,empty
4204416,-63,empty
4207606,-62,empty
4210797,-63,empty
4213988,-63,empty
4217179,-61,empty
4220369,-60,empty
4223560,-63,empty
4226751,-63,empty
4229942,-60,empty
4233132,-62,empty
4236323,-63,empty
4239514,-62,empty
4242705,-62,empty
4245896,-62,empty
4249086,-62,empty
4252277,-62,empty
4255468,-61,empty
4258659,-61,empty
4261850,-61,empty
4265040,-62,empty
4268231,-64,empty
4271422,-61,empty
4274613,-62,empty
4277804,-62,empty
4280994,-62,empty
4284185,-63,empty
4287376,-62,empty
4290567,-61,empty
4293758,-62,empty
4296948,-61,empty
4300139,-62,empty
4303130,-61,empty
4306321,-61,empty
4309512,-60,empty
4312702,-62,empty
4315693,-60,empty
4318883,-64,empty
4322074,-61,empty
4325265,-63,empty
4328456,-63,empty
4331446,-63,empty
4334637,-62,empty
4337628,-62,empty
4340818,-62,empty
4344009,-62,empty
4347200,-62,empty
4350391,-61,empty
4353381,-61,empty
4356572,-61,empty
4359763,-61,empty
4362954,-60,empty
4366144,-62,empty
4369335,-63,empty
4372526,-63,empty
4375717,-64,empty
4378908,-64,empty
4382098,-64,empty
4385289,-63,empty
4388480,-62,empty
4391471,-62,empty
4394461,-62,empty
4397452,-61,empty
4400443,-60,empty
4403433,-61,empty
4406424,-61,empty
4409415,-61,empty
4412405,-60,empty
4415396,-61,empty
4418387,-63,empty
4421377,-60,empty
4424368,-63,empty
4427359,-61,empty
4430349,-61,empty
4433340,-60,empty
4436331,-62,empty
4439321,-62,empty
4442112,-62,empty
4445102,-62,empty
4448093,-63,empty
4451084,-62,empty
4454074,-63,empty
4457065,-60,empty
4460056,-60,empty
4463046,-62,empty
4466037,-61,empty
4469028,-61,empty
4472018,-62,empty
4475009,-62,empty
4478000,-64,empty
4480990,-62,empty
4483981,-64,empty
4486972,-62,empty
4489962,-62,empty
4492953,-63,empty
4495944,-62,empty
4498934,-62,empty
4501925,-64,empty
4504916,-61,empty
4507906,-63,empty
4510897,-62,empty
4513888,-62,empty
4516878,-62,empty
4519869,-63,empty
4522860,-63,empty
4525851,-62,empty
4528841,-62,empty
4531832,-62,empty
4534822,-63,empty
4537813,-59,empty
4540804,-59,empty
4543794,-60,empty
4546785,-61,empty
4549775,-61,empty
4552766,-63,empty
4555757,-60,empty
4558747,-63,empty
4561738,-63,empty
4564729,-61,empty
4567719,-61,empty
4570710,-59,empty
4573701,-63,empty
4576691,-61,empty
4579682,-64,empty
4582673,-62,empty
4585663,-62,empty
4588654,-62,empty
4591645,-62,empty
4594635,-63,empty
4597626,-60,empty
4600617,-62,empty
4603607,-60,empty
4606598,-63,empty
4609588,-63,empty
4612579,-63,empty
4615570,-63,empty
4618560,-63,empty
4621551,-63,empty
4624542,-64,empty
4627532,-63,empty
4630523,-64,empty
4633514,-63,empty
4636505,-63,empty
4639495,-62,empty
4642486,-64,empty
4645477,-63,empty
4648467,-63,empty
4651458,-64,empty
4654449,-62,empty
4657439,-64,empty
4660430,-64,empty
4663421,-62,empty
4666411,-63,empty
4669402,-63,empty
4672393,-64,empty
4675383,-60,empty
4678374,-62,empty
4681365,-62,empty
4684355,-63,empty
4687346,-61,empty
4690337,-60,empty
4693327,-62,empty
4696318,-61,empty
4699309,-63,empty
4702299,-63,empty
4705290,-62,empty
4708281,-63,empty
4711271,-63,empty
4714262,-62,empty
4717253,-64,empty
5513115,-73,idle
5516105,-65,idle
5519096,-62,idle
5522086,-62,idle
5525077,-59,idle
5528068,-61,idle
5531058,-63,idle
5534049,-66,idle
5537039,-64,idle
5540030,-75,idle
5542820,-69,idle
5545811,-69,idle
5548601,-65,idle
5551592,-71,idle
5554582,-67,idle
5557373,-69,idle
5560363,-73,idle
5563354,-75,idle
5566344,-71,idle
5569335,-64,idle
5572125,-71,idle
5574915,-66,idle
5577906,-75,idle
5580896,-63,idle
5583887,-71,idle
5586677,-64,idle
5589668,-64,idle
5592458,-66,idle
5595449,-63,idle
